Sample in Buffer,Sample in Window,TRIGGER,design_1_i/util_ds_buf_0_BUFG_O,design_1_i/xadc_slice_Dout[11:0]
0,0,0,1,1009
1,1,0,1,1009
2,2,0,1,1006
3,3,0,1,1007
4,4,0,1,1007
5,5,0,1,1007
6,6,0,1,1009
7,7,0,1,1006
8,8,0,1,1008
9,9,0,1,1009
10,10,0,1,1008
11,11,0,1,1007
12,12,0,1,1007
13,13,0,1,1010
14,14,0,1,1008
15,15,0,1,1008
16,16,0,1,1008
17,17,0,1,1009
18,18,0,1,1010
19,19,0,1,1003
20,20,0,1,986
21,21,0,1,970
22,22,0,1,959
23,23,0,1,949
24,24,0,1,943
25,25,0,1,941
26,26,0,1,937
27,27,0,1,937
28,28,0,1,938
29,29,0,1,935
30,30,0,1,938
31,31,0,1,937
32,32,0,1,934
33,33,0,1,934
34,34,0,1,934
35,35,0,1,934
36,36,0,1,938
37,37,0,1,956
38,38,0,1,974
39,39,0,1,985
40,40,0,1,994
41,41,0,1,998
42,42,0,1,1003
43,43,0,1,1005
44,44,0,1,1005
45,45,0,1,1006
46,46,0,1,1006
47,47,0,1,1006
48,48,0,1,1007
49,49,0,1,1007
50,50,0,1,1007
51,51,0,1,1009
52,52,0,1,1007
53,53,0,1,1008
54,54,0,1,998
55,55,0,1,982
56,56,0,1,965
57,57,0,1,958
58,58,0,1,948
59,59,0,1,945
60,60,0,1,940
61,61,0,1,940
62,62,0,1,938
63,63,0,1,937
64,64,0,1,936
65,65,0,1,936
66,66,0,1,937
67,67,0,1,936
68,68,0,1,935
69,69,0,1,936
70,70,0,1,935
71,71,0,1,942
72,72,0,1,961
73,73,0,1,977
74,74,0,1,987
75,75,0,1,994
76,76,0,1,1001
77,77,0,1,1003
78,78,0,1,1004
79,79,0,1,1008
80,80,0,1,1008
81,81,0,1,1008
82,82,0,1,1008
83,83,0,1,1008
84,84,0,1,1007
85,85,0,1,1010
86,86,0,1,1008
87,87,0,1,1008
88,88,0,1,1007
89,89,0,1,994
90,90,0,1,976
91,91,0,1,962
92,92,0,1,953
93,93,0,1,943
94,94,0,1,941
95,95,0,1,941
96,96,0,1,941
97,97,0,1,938
98,98,0,1,937
99,99,0,1,937
100,100,0,1,935
101,101,0,1,935
102,102,0,1,938
103,103,0,1,933
104,104,0,1,933
105,105,0,1,936
106,106,0,1,946
107,107,0,1,962
108,108,0,1,978
109,109,0,1,991
110,110,0,1,998
111,111,0,1,1001
112,112,0,1,1005
113,113,0,1,1007
114,114,0,1,1008
115,115,0,1,1008
116,116,0,1,1007
117,117,0,1,1008
118,118,0,1,1008
119,119,0,1,1008
120,120,0,1,1008
121,121,0,1,1007
122,122,0,1,1009
123,123,0,1,1002
124,124,0,1,987
125,125,0,1,970
126,126,0,1,957
127,127,0,1,950
128,128,0,1,944
129,129,0,1,940
130,130,0,1,940
131,131,0,1,937
132,132,0,1,937
133,133,0,1,935
134,134,0,1,935
135,135,0,1,934
136,136,0,1,934
137,137,0,1,934
138,138,0,1,934
139,139,0,1,935
140,140,0,1,937
141,141,0,1,951
142,142,0,1,967
143,143,0,1,980
144,144,0,1,989
145,145,0,1,996
146,146,0,1,1002
147,147,0,1,1003
148,148,0,1,1004
149,149,0,1,1004
150,150,0,1,1006
151,151,0,1,1006
152,152,0,1,1006
153,153,0,1,1007
154,154,0,1,1008
155,155,0,1,1008
156,156,0,1,1010
157,157,0,1,1009
158,158,0,1,999
159,159,0,1,983
160,160,0,1,967
161,161,0,1,958
162,162,0,1,948
163,163,0,1,943
164,164,0,1,940
165,165,0,1,939
166,166,0,1,937
167,167,0,1,936
168,168,0,1,933
169,169,0,1,935
170,170,0,1,934
171,171,0,1,936
172,172,0,1,935
173,173,0,1,935
174,174,0,1,934
175,175,0,1,939
176,176,0,1,955
177,177,0,1,971
178,178,0,1,984
179,179,0,1,992
180,180,0,1,997
181,181,0,1,1002
182,182,0,1,1002
183,183,0,1,1005
184,184,0,1,1005
185,185,0,1,1008
186,186,0,1,1006
187,187,0,1,1008
188,188,0,1,1005
189,189,0,1,1005
190,190,0,1,1008
191,191,0,1,1009
192,192,0,1,1005
193,193,0,1,994
194,194,0,1,977
195,195,0,1,964
196,196,0,1,954
197,197,0,1,947
198,198,0,1,943
199,199,0,1,942
200,200,0,1,937
201,201,0,1,940
202,202,0,1,937
203,203,0,1,938
204,204,0,1,935
205,205,0,1,937
206,206,0,1,936
207,207,0,1,936
208,208,0,1,933
209,209,0,1,935
210,210,0,1,942
211,211,0,1,963
212,212,0,1,976
213,213,0,1,989
214,214,0,1,994
215,215,0,1,1000
216,216,0,1,1004
217,217,0,1,1004
218,218,0,1,1004
219,219,0,1,1005
220,220,0,1,1007
221,221,0,1,1006
222,222,0,1,1010
223,223,0,1,1007
224,224,0,1,1009
225,225,0,1,1008
226,226,0,1,1007
227,227,0,1,1004
228,228,0,1,991
229,229,0,1,973
230,230,0,1,961
231,231,0,1,953
232,232,0,1,944
233,233,0,1,940
234,234,0,1,937
235,235,0,1,937
236,236,0,1,937
237,237,0,1,936
238,238,0,1,934
239,239,0,1,936
240,240,0,1,935
241,241,0,1,935
242,242,0,1,934
243,243,0,1,936
244,244,0,1,939
245,245,0,1,949
246,246,0,1,965
